corem index	corem ID	number of genes 	number of ribosomal genes	ribosomal protein names	ribosomal class																				
45	164	12	6	S10,S28E,L7AE,L10E,L24E,L37AE	Blue																				
46	31942	14	6	S10,S28E,L7AE,L10E,L24E,L37AE	Blue																				
47	14306	4	2	L2,L4	Red																				
48	2822	8	3	S15,L15E,L44E	Red																				
49	9692	5	1	L44E	Red																				
50	21843	9	1	L44E	Red																				
51	7884	4	1	L44E	Red																				
52	4320	4	1	S3E	Red																				
53	29824	15	3	S3E,S15,L15E	Red																				
54	21846	10	2	S3E,S15	Red																				
55	3882	12	2	S3E,S15	Red																				
56	3474	28	7	S3E,S8E,S15,L11,L15E,L21E,L37E	Red, Magenta																				
57	1840	42	13	S3E,S10-like,S15,S17E,S19,S27E,L3,L11,L15E,L21E,L37E,L40E,L44E	Red, Magenta																				
58	17167	30	12	S8,S15,S17E,S19,L2,L3,L4,L6,L11,L12,L15E,L23	Red																				
59	7870	35	12	L15E,S3E,S15,L12,P0,L1,L11,S17E,L37E,L3P,S19,L31E	Red																				
60	3570	61	17	L15E,S3E,S15,L12,P0,L1,L11,S17E,L37E,L3P,L4,L2,S19,L6,L31E,L39E,S7	Red																				
61	4317	42	19	L15E,L44E,S3E,S15,L11,S17E,L37E,L3P,L4,L23,S19,S3,L14,S4E,S14,L6,L19E,S5,L15,	Red																				
62	472	133	20	L15E,S27E,L44E,S15,L12,P0,L1,L11,L21E,S17E,L37E,L3P,L4,L2,S19,L22,L29,S8,L40E,S7	Red																				
63	2383	59	23	L15E,S27E,L44E,S3E,S15,L12,P0,L1,L11,L21E,S17E,L37E,L3P,L4,L23,L2,S19,L22,S8,L40E,L31E,L39E,S7	Red																				
64	2887	73	24	L15E,S27E,L44E,S3E,S15,L12,P0,L1,L11,L21E,S17E,L37E,L3P,L4,L23,L2,S19,L22,L29,S8,L6,L31E,L39E,S7	Red																				
65	20778	62	30	L15E,S27E,L44E,S3E,S15,L12,P0,L1,L11,L21E,S17E,L37E,L3P,L4,L23,L2,S19,L22,S3,L29,L24,S4E,L5,S8,L6,S5,L40E,L31E,L39E,S7	Red																				
66	3415	68	25	L15E,S27E,L44E,S3E,S15,L12,P0,L1,L11,L21E,S17E,L37E,L3P,L4,L23,L2,S19,L22,S3,S4E,L5,L6,L40E,L31E,S7	Red																				
67	8640	62	28	L15E,S27E,L44E,S3E,S15,L12,P0,L1,L11,L21E,S17E,L37E,L3P,L4,L23,L2,S19,L22,S3,S17,L24,S4E,L5,S8,L6,L40E,L31E,S7	Red																				
68	473	68	36	L10E,L15E,L37AE,S27E,L44E,S3E,S15,L12,P0,L1,L11,L7AE,S28E,L24E,L21E,S17E,L37E,L3P,L4,L23,L2,S19,L22,S17,L14,L24,S4E,L5,L6,L19E,S5,L15,L40E,L31E,S10,S7	Red, Blue																				
69	7321	63	31	L15E,L44E,S3E,S15,P0,L11,L21E,S17E,L37E,L3P,L4,L23,L2,S19,L22,S3,S17,L24,S4E,L5,S14,S8,L6,L32E,L19E,L18,S5,L30,L15,L40E,S7	Red																				
70	7461	85	45	L15E,S27E,L44E,S3E,S15,L12,P0,L1,L11,S13,S4,S11,L18E,L13,S9,S2,L21E,S17E,L37E,L3P,L4,L23,L2,S19,L22,S3,L29,S17,L14,L24,S4E,L5,S14,S8,L6,L32E,L19E,L18,S5,L30,L15,L40E,L31E,L39E,S7	Red, Green																				
71	638	65	35	L15E,S27E,L44E,S3E,S15,L12,P0,L1,L11,L21E,L37E,L3P,L4,L23,L2,S19,L22,S3,S17,L14,L24,S4E,L5,S8,L6,L32E,L19E,L18,S5,L30,L15,L31E,L39E,S6E,S7	Red, Magenta																				
72	1738	76	38	L15E,S27E,L44E,S3E,S15,L12,P0,L1,L11,L21E,S17E,L37E,L3P,L4,L23,L2,S19,L22,S3,L29,S17,L14,L24,S4E,L5,S14,S8,L6,L32E,L19E,L18,S5,L30,L15,L40E,L31E,L39E,S7	Red																				
